대분류,품목,수량단위,현재고,안전재고,위치,최근입고일,최근출고일,구매금액,비고,누적입고,누적출고
식음료류,스타블렌드(원두),박스,20,0,,2026-03-16,,,,,
식음료류,허니블렌드(원두),박스,0,0,,,,,,,
식음료류,디카페인(원두),박스,0,0,,,,,,,
식음료류,돈시몬 주스(오렌지),박스,3,0,,2026-03-16,,,,,
식음료류,돈시몬 주스(자몽),박스,0,0,,,,,,,
식음료류,음료(1.5L),개,0,0,,,,,,,
식음료류,설탕스틱,박스,0,0,,,,,,,
식음료류,커피시럽,개,0,0,,,,,,,
식음료류,커피스틱(맥심),박스,0,0,,,,,,,
식음료류,티백(둥글레차),박스,0,0,,,,,,,
식음료류,티백(녹차),박스,0,0,,,,,,,
미화용품,펌핑치약,개,0,0,,,,,,,
미화용품,석류시초(참그린),개,0,0,,,,,,,
미화용품,수세미,개,0,0,,,,,,,
미화용품,핸드워시,개,0,0,,,,,,,
미화용품,롤화장지,박스,0,0,,,,,,,
미화용품,핸드티슈,박스,0,0,,,,,,,
기타,스틱빨대,박스,0,0,,,,,,,
기타,머신세정제,개,2,0,,2026-03-11,,,,,
기타,머신세척솔,개,0,0,,,,,,,
미화용품,종이컵(10온즈),박스,12,1,,2026-03-16,,0.0,,0.0,0.0
