대분류,품목,구매처,수량단위,안전재고,기본발주수량,비고
식음료류,허니블렌드(원두),콩지커피,박스,5,10,
식음료류,디카페인(원두),디카커피랩,박스,5,10,
식음료류,돈시몬 주스(오렌지),메가커피,박스,1,6,
식음료류,돈시몬 주스(자몽),메가커피,박스,1,6,
식음료류,음료(1.5L),워커스하이,개,50,72,
식음료류,설탕스틱,쿠팡,박스,1,2,
식음료류,커피시럽,네이버,개,2,4,
식음료류,커피스틱(맥심),네이버,박스,1,2,
식음료류,티백(둥글레차),네이버,박스,2,2,
식음료류,티백(녹차),네이버,박스,2,2,
미화용품,펌핑치약,네이버,개,12,5,
미화용품,석류시초(참그린),네이버,개,12,5,
미화용품,수세미,네이버,개,12,5,
미화용품,핸드워시,네이버,개,12,5,
미화용품,롤화장지,동방제지,박스,1,12,
미화용품,핸드티슈,동방제지,박스,1,12,
기타,스틱빨대,쿠팡,박스,1,3,
기타,머신세정제,네이버,개,2,2,
기타,머신세척솔,네이버,개,2,2,
미화용품,종이컵(10온즈),네이버,박스,1,12,
식음료류,스타블렌드(원두),콩지커피,박스,7,20,
